date,price_for_regime,market_return,regime_label,bull_probability,bear_probability,expected_return
2020-01-03,132.57382065781374,-0.005018162655784799,Bull Market,0.9995122000928445,0.00048779990715559134,0.002340747940974461
2020-01-06,131.5485295539132,-0.0077637977487187105,Bull Market,0.8584406236820348,0.14155937631796514,0.0014025036125112796
2020-01-07,131.99342583838097,0.003376287516965715,Bull Market,0.9991985890558184,0.0008014109441816323,0.002338662164489081
2020-01-08,129.7596663601261,-0.01706809793502394,Bull Market,3.3347919357886384e-09,0.999999996665208,-0.004306846660982224
2020-01-09,130.8572684078889,0.008423155910905082,Bull Market,0.9824052156763549,0.017594784323645186,0.0022269721435087884
2020-01-10,131.08668149018192,0.0017516200777980642,Bull Market,0.9970969857767599,0.0029030142232400412,0.0023246847396426033
2020-01-13,130.574397216799,-0.00391563720865132,Bull Market,0.8470126062223368,0.15298739377766327,0.0013264977094091836
2020-01-14,131.14670126063666,0.004373395644081657,Bull Market,0.9969357731499499,0.0030642268500501524,0.002323612540432603
2020-01-15,131.16894828213782,0.0001696202387715769,Bull Market,0.993617932525988,0.006382067474012006,0.002301546116937682
2020-01-16,131.5976187674399,0.003262750435879366,Bull Market,0.9991323430981138,0.0008676569018861967,0.0023382215732964304
2020-01-17,131.5330907061679,-0.0004904639423854269,Bull Market,0.9992884191289593,0.0007115808710407662,0.0023392596098341617
2020-01-20,131.402766279816,-0.0009913021260628077,Bull Market,0.9994915322107768,0.0005084677892231163,0.0023406104822203686
2020-01-21,132.3545589932516,0.007217216385390348,Bull Market,0.999938795851652,6.120414834807157e-05,0.0023435851606428797
2020-01-22,133.413980054837,0.007972551430755658,Bull Market,0.9999766280950138,2.3371904986238336e-05,0.002343836776798808
2020-01-30,129.90650295007495,-0.02664194237783216,Bear Market,1.482159347082979e-21,1.0,-0.004306846683161388
2020-01-31,125.97423742515738,-0.0307375624590531,Bear Market,1.573969726907468e-30,1.0,-0.004306846683161388
