feature,w1_score,w1_normalized,status,std,component
market_cycle_z,0.4009852488340182,0.3783666250778466,Kept,1.0597796482486213,market_cycle_z
trading_above_ema_breadth_z,0.3810893884363114,0.33503626212577176,Kept,1.137457139768505,trading_above_ema_breadth
momentum_z,0.34689234401144053,0.3174523050242973,Kept,1.092738463451667,momentum
money_flow_z,0.33516521240567515,0.24098535614318026,Kept,1.3908115321602297,money_flow
prop_flow_z,0.30223305650613264,0.20428875919930248,Kept,1.4794404630519904,prop_flow_z
sentiment_z,0.26960885905629517,0.18865062320701556,Kept,1.4291437498218078,sentiment
mcclellan_summation_breadth_z,0.223896222066776,0.19109026675968388,Kept,1.1716777932407676,mcclellan_summation_breadth
mcclellan_osc_breadth_z,0.15043260247039658,0.14623007924856085,Kept,1.0287391160794785,mcclellan_osc_breadth
dispersion_z,0.11761616181715759,0.11227725660006564,Kept,1.0475510836189137,dispersion
foreign_flow_z,0.09049852734281999,0.06429819668702393,Kept,1.4074815781121832,foreign_flow_z
