overall_rank,component,feature,w1_score,w1_normalized
1,prop,pflow_consec_neg,1.7769142325164282,0.20291347520155906
2,momentum,momentum_signflip20,0.5706497905400065,0.1214554338093698
3,sentiment,sentiment_mean20,0.3868753910604733,0.29519105612235363
4,cycle,cycle_skew,0.3609150860354291,0.3736480069078115
5,prop,pflow_mean50,0.2803446799407924,0.23328657297897348
6,cycle,cycle_flow_cross,0.18797132726737192,0.22462886076062372
7,foreign,fflow_mean50,0.1859435793862521,0.19714154019294833
8,momentum,momentum_mean20,0.14555192936573702,0.20263621801919265
9,sentiment,sentiment_breadth_cross,0.0845600725184057,0.0620218635777594
10,foreign,fflow_neg_pct,0.03196940338445072,0.092104061732793
